Date,Open,High,Low,Close,Volume
2023-01-02,1496.1364172791227,1496.635868746962,1495.1102895411148,1496.1364172791227,4310745.0
2023-01-03,1496.1210965881683,1498.2448269472895,1489.471916909352,1494.3439211247573,1627797.0
2023-01-04,1496.6888679289793,1499.8380857678253,1487.6702057216355,1489.8321299371319,1580647.0
2023-01-05,1491.4893933229694,1498.6090214301432,1474.3504964343679,1493.8621807439747,3042566.0
2023-01-06,1495.4844176910844,1496.829108537176,1493.149549609053,1494.7173167433791,3922905.0
2023-01-09,1498.3467360228037,1502.7595314420967,1482.3180213132566,1488.6692868687371,4290394.0
2023-01-10,1485.977270797999,1502.9448721365754,1481.9832342404616,1496.7732901744628,2797000.0
2023-01-11,1495.365674869609,1504.548744376271,1484.5199723599385,1487.971770335783,3172351.0
2023-01-12,1485.024105970299,1495.7652222573906,1480.706681765217,1488.5796596291539,2466735.0
2023-01-13,1488.3390623417456,1496.0979565870311,1483.8429414344266,1490.596815465693,2498448.0
2023-01-16,1492.8299463517205,1508.6481677622833,1491.6102845765083,1503.6419962195116,1460301.0
2023-01-17,1503.592493574225,1507.7671241085347,1493.548922180098,1495.9161490016547,1025408.0
2023-01-18,1497.0288415007424,1519.3229734654858,1489.5156083863785,1511.775219426591,2142514.0
2023-01-19,1507.4422403517524,1519.1429061905255,1504.24407499936,1511.2206317342684,2723031.0
2023-01-20,1511.5540013367647,1518.0580213874073,1503.6613327873322,1506.7506853572859,4957740.0
2023-01-23,1504.7008793091632,1509.432205785532,1497.1026745809334,1497.247142812188,4682333.0
2023-01-24,1501.2344378433381,1512.1792559744697,1500.0892536574786,1500.996330409392,3092337.0
2023-01-25,1502.9930662234794,1508.3690241958745,1486.8810115613908,1499.1088976370868,1226368.0
2023-01-26,1501.2436650230657,1508.2162586339691,1484.3954144121415,1485.1293101103977,1964183.0
2023-01-27,1485.0004269595793,1491.999206915581,1469.8672094517426,1471.0276950865054,4517284.0
2023-01-30,1472.380001154615,1489.2897791899636,1446.9110883405806,1462.9537617955773,2361637.0
2023-01-31,1464.3974561267162,1467.1474277969528,1441.0577740005824,1453.6902770921863,2027463.0
2023-02-01,1452.939294880816,1471.7099049263672,1440.1024329427246,1462.4591065504483,1974840.0
2023-02-02,1461.3680271564665,1480.2013965992069,1460.832903698835,1474.2008515518955,3899279.0
2023-02-03,1473.9470543493455,1482.130927250959,1464.2670410861658,1480.8051495493162,1248865.0
2023-02-06,1479.4603148694396,1482.413642010351,1476.4873312591394,1482.1453999765877,4382519.0
2023-02-07,1480.8240538260684,1488.2367684379544,1464.2343606479492,1475.3309883076672,1845595.0
2023-02-08,1474.7038795982394,1491.149849345386,1469.546302787308,1473.5331241122672,4365885.0
2023-02-09,1471.9231026384741,1485.7548096292903,1466.703076300183,1480.3009866633083,4558262.0
2023-02-10,1482.002580329772,1507.9148554325195,1480.1311955706258,1500.0138671855761,3614023.0
2023-02-13,1496.4226397346984,1519.4734589889383,1484.8922133485723,1507.199375269147,2038440.0
2023-02-14,1509.0612837577642,1517.3310042478108,1484.0719476247477,1501.8293972078238,3288862.0
2023-02-15,1500.4201560354113,1507.6104539474914,1496.1244085110998,1499.8262204086577,903567.0
2023-02-16,1498.5979978181795,1504.5540622145504,1488.8847455516236,1492.3603639890996,2568522.0
2023-02-17,1489.336437890607,1494.5171706416002,1475.2636882055242,1481.799243041598,4240866.0
2023-02-20,1481.4786362478103,1485.2226694060405,1472.5779043393495,1477.5172966367702,3721619.0
2023-02-21,1476.9684103912896,1481.1996582140212,1469.0152653674784,1477.1764376006167,4657019.0
2023-02-22,1477.600658663185,1503.2826466329716,1476.6513043274124,1493.7966092596116,3409757.0
2023-02-23,1492.6005839095678,1494.737129046719,1491.0650133030736,1491.9506161751106,4349276.0
2023-02-24,1492.1604355593336,1507.113506017022,1486.1396649449564,1503.7392737034143,3535203.0
2023-02-27,1507.8437868279627,1527.4733255064154,1504.225528447297,1519.9381900953936,3388969.0
2023-02-28,1520.8706714783998,1521.163706194133,1515.4007988776852,1518.3447706330555,1931817.0
2023-03-01,1517.0381817312361,1534.0810390066013,1505.422536860063,1533.003770232735,3893463.0
2023-03-02,1535.1954511371537,1540.5138108605768,1532.6422306997713,1538.2229548951016,986103.0
2023-03-03,1537.9257676037698,1545.1397861983628,1516.8420418487256,1531.2659615409689,4013623.0
2023-03-06,1532.6300311786088,1538.8792655650527,1531.5244259082745,1531.658364022625,1011475.0
2023-03-07,1533.0661436094967,1537.9037090251977,1510.9078399934328,1529.4529976497026,3155044.0
2023-03-08,1528.5558227005356,1538.2639800143595,1521.57546926393,1524.5184114727208,1058921.0
2023-03-09,1520.1042732285998,1520.7878986819426,1517.7971921009778,1519.9578624674723,3741666.0
2023-03-10,1519.16523418035,1525.0337661150916,1516.9083310895742,1519.0602743401073,2263461.0
2023-03-13,1520.3168153811523,1522.978730034113,1515.7176597076157,1521.2466091577826,3388911.0
2023-03-14,1520.3792466572158,1523.5891489727846,1503.9671474275506,1509.3897497184973,3100877.0
2023-03-15,1510.3836133949853,1518.8138468936559,1505.0188556044993,1506.8755386334117,1159895.0
2023-03-16,1509.089606771149,1510.0734415658794,1485.3262933973874,1488.4065409658056,3954745.0
2023-03-17,1487.1917480167926,1490.7932319583153,1476.3587623757226,1488.742278589142,2973516.0
2023-03-20,1491.4920267098764,1497.3350080202574,1488.125980697919,1492.858943274912,2146220.0
2023-03-21,1496.4906312172236,1499.6157689346358,1491.2772446807646,1492.1836990928425,3112238.0
2023-03-22,1494.598901245613,1494.8232639087994,1481.5933092276728,1492.7820230696861,4575045.0
2023-03-23,1495.3916960352524,1510.8045855502562,1485.201367036381,1496.5581670501692,2081965.0
2023-03-24,1499.0202965724363,1503.1351559191128,1486.533727558911,1487.1961392806145,1765517.0
2023-03-27,1492.2255519607227,1494.307210149718,1475.562705306354,1482.328037672957,2006500.0
2023-03-28,1482.741297918042,1489.739376862931,1480.5693213256789,1485.2577913069733,4484661.0
2023-03-29,1485.2624344074122,1493.4841040258486,1483.5145672998583,1493.2977889954227,1137671.0
2023-03-30,1494.6487172034742,1499.2082226332884,1490.4571009013307,1495.036659321221,3759427.0
2023-03-31,1492.999981826937,1531.9010438846535,1482.500470628092,1519.3609296239092,3185390.0
2023-04-03,1515.8211754838612,1520.3899622060026,1514.4172742718788,1515.9582843493104,1683013.0
2023-04-04,1513.9526534098618,1526.3700345267248,1508.9353338619842,1524.1408556602682,1471894.0
2023-04-05,1524.9926187676017,1540.1015317898118,1519.8415252963257,1535.2169301431281,1891164.0
2023-04-06,1536.3062893894946,1544.3953341763938,1521.3553130998073,1531.3230229249734,3423727.0
2023-04-07,1527.794030709786,1529.7398084221131,1514.8244626717353,1520.0776142184284,2102630.0
2023-04-10,1515.7830976876073,1525.8857070194033,1492.833423798785,1505.0619523791759,2468979.0
2023-04-11,1504.348231887159,1510.8584508524664,1504.203488486173,1504.3635118226932,1869648.0
2023-04-12,1503.9391537812778,1513.8840207465794,1492.2261103978285,1513.6485091309266,1828853.0
2023-04-13,1513.536799979648,1515.3575735222878,1511.2213494230582,1514.1051447846555,4734116.0
2023-04-14,1515.629914786358,1529.5599615040057,1504.5066165961218,1513.5146324641726,2811327.0
